Identifier,Grade,Centering,Surface,Corners,Edges
2135041046,8.0,9.5,8.5,7.0,8.5
2135041047,7.5,8.5,6.5,8.5,8.5
2135041048,8.5,9.5,8.5,8.5,9.0
2135041049,9.5,9.5,9.5,9.0,9.5
2135041050,9.0,9.5,8.5,9.0,9.0
2135041051,7.5,9.0,7.0,8.5,7.5
2135041052,8.0,9.0,7.5,9.0,9.0
2135041053,9.5,9.5,9.5,9.5,9.5
2135041054,8.5,8.5,9.0,8.5,8.5
2135041055,8.0,9.0,7.5,8.5,8.0
2135041056,8.5,9.5,8.0,9.5,8.5
2135041057,9.5,9.5,9.0,9.5,9.5
2135041058,8.0,9.5,7.5,8.5,8.5
2135041059,9.0,9.0,8.5,9.0,9.0
2135041060,8.0,9.5,8.0,9.0,8.0
2135041061,9.5,10.0,9.5,9.5,9.0
2135041062,9.0,10.0,8.5,10.0,9.5
2135041063,8.0,10.0,7.5,9.0,8.5
2135041064,8.5,9.5,8.0,8.5,9.0
2135041066,8.0,9.0,7.0,8.5,8.5
2135041067,8.5,9.5,8.0,9.0,9.0
2135041068,9.0,9.0,9.5,9.0,9.0
2135041069,8.5,9.5,8.0,9.0,9.0
2135041070,9.0,9.5,8.5,9.0,9.0
2135041071,8.0,9.5,7.5,8.5,8.5
2135041072,9.0,9.5,9.0,9.0,8.5
2135041073,8.5,9.5,8.5,8.5,8.5
2135041074,9.0,10.0,9.5,8.5,9.5
2135041075,9.0,10.0,9.0,8.5,9.0
2135041076,9.0,10.0,8.5,9.0,9.0
2135041077,8.5,9.5,8.5,8.5,9.0
2135041078,9.0,9.5,9.0,9.0,9.0
2135041079,9.0,10.0,9.0,8.5,9.5
2135041081,9.0,9.5,9.5,9.0,9.0
2135041082,9.0,9.0,9.0,8.5,9.0
2135041083,9.5,9.5,9.5,9.5,9.5
2135041084,8.5,8.5,9.0,8.0,9.0
2135041085,9.0,9.0,9.5,9.0,8.5
2135041086,9.0,9.5,9.0,8.5,9.0
2135041087,8.5,9.5,9.0,8.5,8.5
2135041088,9.0,9.5,9.5,8.5,9.0
2135041089,9.0,9.5,9.0,8.5,9.0
2135041090,9.0,10.0,9.0,9.0,9.0
2135041091,8.5,9.0,8.5,8.5,9.0
2135041092,8.5,9.5,8.5,9.0,8.5
2135041093,8.5,10.0,8.5,8.5,9.0
2135041094,9.0,9.0,9.0,9.0,10.0
2135041095,9.5,9.5,9.0,9.5,9.5
2135041096,9.0,9.5,9.0,9.0,9.5
2135041097,9.0,10.0,9.0,8.5,9.5
2135041098,9.5,10.0,9.5,9.0,9.5
2135041099,9.0,10.0,8.5,9.0,9.0
2135041100,9.0,10.0,8.5,9.0,9.0
2135041101,8.5,10.0,9.0,8.0,9.0
2135041102,9.0,9.0,9.0,9.5,9.5
2135041103,9.0,9.0,9.0,9.0,9.0
2135041104,8.5,8.5,8.0,9.0,8.5
2135041105,6.5,9.0,5.5,9.0,8.5
2135041106,8.5,9.0,8.0,8.5,8.5
2135041107,8.5,9.0,8.5,9.0,8.0
2135041108,8.5,8.5,8.5,9.0,9.0
2135041109,9.0,8.5,8.5,9.0,9.0
2135041110,8.5,8.5,8.0,9.0,9.0
2135041111,8.5,9.0,8.5,9.5,8.5
2135041112,9.0,9.0,8.5,9.0,9.0
2135041113,8.5,8.5,8.0,8.5,8.5
2135041114,8.0,9.0,8.5,8.0,8.0
2135041115,8.5,8.5,8.0,9.0,8.5
2135041117,7.0,9.0,6.0,9.0,7.5
2135041118,7.0,9.0,6.0,9.0,7.5
2135041119,8.5,9.0,8.5,8.5,8.5
2135041120,8.0,9.0,8.0,9.0,8.0
2135041121,8.5,9.0,8.5,9.0,8.5
2135041122,9.0,9.0,9.0,9.5,9.0
2135041123,8.0,9.5,8.0,9.0,8.0
2135041124,7.0,9.0,8.0,7.0,7.0
2135041125,8.0,8.0,8.0,8.5,8.5
2135041126,9.0,9.0,9.5,8.5,9.5
2135041127,8.5,8.5,8.5,9.0,9.0
2135041128,8.0,8.5,9.0,7.0,8.0
2135041129,8.5,8.5,9.5,8.0,8.5
2135041130,8.0,9.5,8.0,8.5,8.0
2135041131,8.5,8.5,8.5,9.0,9.0
2135041132,8.0,8.5,7.5,8.5,8.5
2135041133,9.0,9.0,8.5,9.0,9.0
2135041134,8.5,9.0,8.0,9.5,8.5
2135041135,9.0,9.5,9.5,9.5,8.5
2135041136,8.5,9.5,8.0,9.0,8.5
2135041137,9.0,8.5,9.0,9.0,9.5
2135041138,9.0,9.0,9.0,9.0,9.0
2135041139,9.0,9.5,8.5,10.0,9.0
2135041140,8.5,9.0,8.5,8.5,9.0
2135041141,9.0,9.0,9.0,9.0,8.5
2135041142,8.5,9.0,8.0,8.5,9.0
2135041143,9.5,9.5,9.5,9.5,9.0
2135041144,9.0,8.5,9.0,9.5,9.5
2135041145,9.0,9.0,8.5,9.5,9.0
2135041146,9.0,9.5,9.0,9.5,9.0
2135041147,9.0,9.5,9.0,10.0,9.0
2135041148,9.0,9.5,9.0,9.5,8.5
2135041149,9.0,9.5,8.5,9.5,9.0
2135041150,9.0,9.5,9.0,9.5,9.0
2135041151,9.0,9.5,8.5,9.5,9.5
2135041152,8.5,9.5,8.0,9.5,9.0
2135041153,9.0,9.5,8.5,9.5,9.0
2135041154,9.5,9.5,9.0,10.0,9.5
2135041155,8.5,8.5,8.5,9.0,8.5
2135041156,8.0,9.0,8.0,9.5,7.5
2135041157,9.0,9.5,9.0,10.0,8.5
2135041158,9.0,9.5,8.5,9.5,9.0
2135041159,8.5,9.5,8.0,9.5,9.0
2135041160,9.0,9.0,9.0,9.5,8.5
2135041161,9.0,9.5,9.0,10.0,9.0
2135041162,8.5,9.0,8.0,9.5,9.0
2135041163,8.5,8.5,8.0,9.0,8.5
2135041165,8.5,8.5,8.0,9.0,9.0
2135041166,8.5,8.5,8.5,9.0,8.5
2135041167,8.0,8.5,7.5,9.0,9.0
2135041168,9.0,9.0,8.5,9.0,9.0
2135041169,9.0,9.0,8.5,10.0,9.5
2135041170,9.0,9.5,8.5,9.5,9.0
2135041171,9.0,10.0,9.0,9.5,9.0
2135041172,9.0,9.5,9.0,9.0,9.0
2135041173,8.5,9.5,8.0,9.0,9.0
2135041174,8.5,9.5,8.5,9.0,8.5
2135041175,9.0,9.5,8.5,9.5,9.5
2135041176,9.0,9.5,8.5,9.0,9.0
2135041177,8.5,9.5,8.0,9.0,9.0
2135041178,7.0,8.5,6.0,9.0,8.5
2135041179,9.0,9.0,9.0,9.0,9.0
2135041180,8.5,8.5,8.5,9.0,9.5
2135041181,9.0,9.0,8.5,9.0,9.0
2135041182,9.0,9.0,9.0,10.0,9.0
2135041183,9.0,9.0,9.0,9.5,9.5
2135041184,8.5,8.5,8.5,9.0,9.0
2135041185,8.0,8.5,9.0,9.0,7.5
2135041186,8.5,8.5,8.0,9.0,8.5
2135041187,8.5,8.5,8.0,9.0,8.5
2135041188,8.5,9.0,8.5,9.0,8.5
2135041189,8.5,9.0,8.5,9.0,8.5
2135041190,8.5,8.5,8.5,9.0,8.0
2135041191,9.0,8.5,9.0,9.0,9.0
2135041192,9.0,9.0,8.5,9.0,9.0
2135041193,8.0,8.5,7.5,9.0,8.5
2135041194,8.0,8.5,7.5,9.0,9.0
2135041195,9.0,9.0,9.0,9.0,9.0
2135041196,8.5,9.0,8.0,9.0,9.0
2135041197,9.0,9.0,9.0,9.5,9.0
2135041198,8.5,8.5,8.0,9.5,9.0
2135041199,8.5,8.5,9.0,9.0,8.5
2135041200,7.0,8.5,7.0,7.0,7.5
2135041201,8.5,8.5,8.5,8.0,8.5
2135041202,8.0,9.0,7.5,8.5,8.5
2135041204,9.0,9.0,8.5,9.0,9.0
2135041205,8.5,9.0,8.0,9.0,9.0
2135041206,8.5,9.0,8.0,9.0,9.0
2135041207,8.5,9.0,8.0,9.0,8.5
2135041208,8.5,9.5,8.5,9.0,8.5
2135041209,9.0,9.0,8.5,9.0,9.0
2135041210,9.0,8.5,9.0,9.0,9.0
2135041211,8.5,9.5,8.0,9.0,9.0
2135041212,9.0,9.5,9.0,9.0,8.5
2135041213,9.0,9.5,9.0,9.5,9.0
2135041214,9.0,9.5,8.5,9.5,9.0
2135041215,9.5,9.5,9.5,9.5,9.0
2135041216,8.5,9.5,8.5,9.5,8.5
2135041217,9.0,9.0,9.0,9.5,9.0
2135041218,9.0,9.5,9.0,9.5,9.0
2135041219,9.5,9.5,9.0,9.5,9.5
2135041220,9.0,10.0,9.0,9.0,9.0
2135041221,9.0,9.5,9.0,9.5,9.0
2135041222,8.5,9.5,8.0,9.5,9.0
2135041223,9.0,9.0,8.5,9.0,9.0
2135041224,9.0,9.5,8.5,9.0,9.0
2135041225,9.0,9.5,9.0,9.5,9.0
2135041226,9.5,9.5,9.5,10.0,9.5
2135041227,8.5,9.0,8.0,9.0,8.5
2135041228,8.5,8.5,9.0,9.0,8.5
2135041229,9.0,9.5,8.5,10.0,9.0
2135041230,9.0,9.5,9.0,9.5,9.0
2135041231,8.5,9.0,8.5,9.0,8.5
2135041232,9.0,9.5,8.5,9.0,9.0
2135041234,8.5,9.0,9.0,8.5,8.0
2135041235,9.0,9.5,9.0,8.5,9.0
2135041236,9.0,8.5,9.0,9.5,9.0
2135041237,8.5,8.5,9.0,8.5,8.0
2135041238,8.5,9.0,9.0,8.5,8.5
2135041239,9.0,8.5,9.0,9.0,9.0
2135041240,9.0,9.0,9.5,9.0,9.0
2135041241,9.0,9.5,9.0,8.5,9.5
2135041242,9.0,8.5,9.0,9.0,9.0
2135041243,9.0,9.5,9.5,8.5,9.0
2135041244,8.5,9.5,8.5,8.5,8.5
2135041245,9.0,9.5,9.0,8.5,9.0
2135041246,8.5,9.5,8.5,8.5,9.0
2135041247,9.0,10.0,9.0,9.0,9.5
2135041248,7.0,9.0,6.0,8.5,8.0
2135041249,9.0,9.0,9.0,8.5,9.0
2135041251,8.5,8.5,8.5,9.0,9.0
2135041252,9.0,9.5,9.5,9.0,9.0
2135041253,5.5,9.5,4.5,7.5,7.5
2135041254,8.5,9.5,8.5,8.5,8.5
2135041255,9.0,9.5,9.0,8.5,9.0
2135041256,9.0,9.5,9.0,9.0,8.5
2135041257,9.0,9.5,9.0,9.0,9.0
2135041258,8.5,9.5,8.5,8.0,8.5
2135041259,9.0,10.0,8.5,9.0,9.0
2135041260,9.0,9.5,8.5,9.0,9.0
2135041261,9.0,9.5,9.0,9.0,8.5
2135041262,9.0,9.5,8.5,9.0,9.0
2135041263,8.5,9.5,9.0,8.5,8.5
2135041264,8.5,9.5,9.0,8.0,8.5
2135041265,9.0,9.0,8.5,9.0,9.0
2135041266,8.5,9.0,8.0,8.5,8.5
2135041267,9.0,9.0,9.0,9.5,9.0
2135041268,9.0,9.5,9.0,9.0,8.5
2135041269,8.5,9.0,8.5,9.0,8.5
2135041270,9.0,9.0,9.0,9.0,9.0
2135041271,8.5,9.5,8.5,9.0,8.5
2135041272,9.0,10.0,9.0,8.5,9.0
2135041273,9.0,10.0,9.0,9.0,9.0
2135041274,9.0,9.0,9.0,8.5,9.0
2135041275,8.5,10.0,8.5,9.0,8.5
2135041276,9.0,10.0,9.0,8.5,9.0
2135041277,9.0,9.5,9.0,9.0,9.0
2135041278,8.5,9.5,9.0,8.5,8.5
2135041279,9.0,9.5,9.0,8.5,9.0
2135041280,8.5,9.5,8.5,9.0,8.5
2135041281,9.5,10.0,9.5,9.0,9.5
2135041282,9.0,10.0,9.0,9.0,9.0
2135041283,8.5,9.5,8.5,8.5,9.0
2135041284,9.0,9.5,9.0,9.0,9.0
2135041285,9.0,9.5,8.5,9.0,9.0
2135041286,9.0,10.0,9.0,8.5,9.0
2135041287,8.5,10.0,9.0,8.5,8.5
2135041288,8.5,9.0,8.5,9.0,8.5
2135041289,9.0,10.0,9.0,9.0,9.0
2135041290,9.0,9.5,9.0,9.0,8.5
2135041291,9.0,9.5,9.0,9.0,9.0
2135041292,9.0,9.5,8.5,9.0,9.0
2135041293,9.0,9.5,9.0,9.0,8.5
2135041294,8.5,9.5,8.5,8.5,9.0
2135041295,8.5,9.0,8.5,9.0,8.5
2135041296,9.0,10.0,8.5,9.0,9.0
2135041297,8.5,9.5,9.5,8.5,8.5
2135041298,8.5,9.0,8.5,9.5,8.5
2135041299,9.0,10.0,9.5,9.0,9.0
2135041300,9.0,9.5,9.0,9.0,9.0
2135041301,8.5,9.5,8.0,9.0,9.0
2135041302,9.0,9.5,8.5,9.0,9.0
2135041303,9.0,9.5,8.5,9.0,9.0
2135041304,9.0,9.5,9.0,9.0,9.0
2135041305,8.5,8.5,8.5,9.5,9.0
2135041306,9.0,9.5,9.0,9.0,9.0
2135041307,9.0,10.0,9.5,9.0,8.5
2135041308,9.0,10.0,8.5,9.0,9.0
2135041309,9.0,9.5,9.0,9.0,9.0
2135041310,8.5,10.0,8.5,8.5,8.5
2135041311,8.5,9.5,8.5,9.0,8.5
2135041312,9.0,9.5,8.5,9.0,9.0
2135041313,9.0,9.0,9.0,9.5,8.5
2135041314,9.0,10.0,8.5,9.0,9.0
2135041315,8.5,9.5,8.5,8.5,8.5
2135041316,9.0,10.0,8.5,9.0,9.0
2135041317,8.5,9.5,9.0,9.0,8.0
2135041318,9.0,9.0,8.5,9.0,9.0
2135041319,8.5,9.5,8.0,9.0,9.0
2135041320,8.5,9.5,8.5,9.0,8.5
2135041321,9.0,9.5,9.0,9.0,9.0
2135041322,8.5,9.5,8.5,9.0,8.5
2135041323,8.5,9.5,8.5,8.5,8.0
2135041324,8.5,10.0,8.0,9.0,9.0
2135041325,8.5,9.5,8.5,8.5,9.0
2135041326,8.5,10.0,8.5,9.0,8.5
2135041328,8.5,8.5,9.0,8.0,8.5
2135041329,8.5,9.5,8.0,8.5,8.5
2135041330,9.0,10.0,9.5,9.0,9.0
2135041331,9.0,9.0,8.5,9.0,9.0
2135041332,9.0,9.5,9.0,9.0,8.5
2135041333,9.0,9.5,9.5,8.5,9.0
2135041334,9.0,10.0,9.0,9.0,8.5
2135041335,8.5,9.0,8.0,8.5,9.0
2135041336,8.5,10.0,8.5,9.0,8.5
2135041337,8.5,9.5,8.5,9.0,8.5
2135041338,9.0,9.5,8.5,9.0,9.0
2135041339,9.0,9.5,8.5,9.0,9.0
2135041341,8.5,9.5,8.5,9.0,8.5
2135041342,8.0,10.0,7.0,8.5,8.0
2135041343,9.0,9.0,9.0,9.0,8.5
2135041344,8.5,10.0,8.0,9.0,9.0
2135041345,9.0,9.5,9.0,9.0,9.0
2135041346,9.0,9.0,9.0,9.0,8.5
2135041347,8.5,10.0,9.0,8.5,8.5
2135041348,8.5,9.5,8.5,9.0,8.5
2135041349,8.5,9.5,8.0,8.5,8.5
2135041350,8.0,9.5,9.0,8.0,8.0
2135041351,9.0,9.5,9.0,9.0,8.5
2135041352,9.0,10.0,9.5,9.0,9.0
2135041353,9.0,10.0,9.0,9.0,9.0
2135041354,9.5,9.0,9.5,9.5,9.5
2135041355,9.5,9.5,9.5,9.5,9.5
2135041356,9.0,9.5,9.0,9.5,9.0
2135041357,9.0,9.5,9.0,9.0,9.0
2135041358,8.5,9.0,8.0,9.5,9.0
2135041359,9.0,9.5,8.5,9.0,9.0
2135041360,9.0,9.5,9.0,9.0,9.0
2135041361,9.0,9.5,8.5,9.5,9.0
2135041362,9.0,9.5,9.0,8.5,9.0
2135041363,9.0,9.5,9.0,9.0,9.0
2135041364,8.5,9.5,8.5,8.5,8.5
2135041365,8.0,9.5,9.0,7.5,8.5
2135041366,8.5,10.0,9.0,8.5,8.5
2135041367,8.5,9.5,9.0,8.5,8.5
2135041368,9.0,9.5,9.0,9.0,9.0
2135041369,9.0,10.0,9.0,9.0,9.0
2135041370,9.0,10.0,9.0,8.5,9.0
2135041371,9.5,9.5,9.5,9.5,9.0
2135041372,9.0,9.5,9.0,9.0,9.0
2135041373,9.0,9.5,9.0,9.0,8.5
2135041374,9.0,10.0,8.5,9.5,9.0
2135041375,9.0,9.5,9.0,8.5,9.0
2135041376,9.0,10.0,9.0,9.0,8.5
2135041377,9.0,9.0,9.0,9.0,9.0
2135041379,9.0,9.5,9.0,9.0,9.0
2135041380,8.5,9.5,8.0,9.0,9.0
2135041381,9.0,9.0,8.5,9.0,9.0
2135041382,9.0,10.0,9.0,9.0,9.0
2135041383,9.0,10.0,9.5,9.0,9.0
2135041384,8.5,10.0,8.0,9.0,8.5
2135041385,8.5,9.5,8.5,9.0,8.5
2135041386,9.0,10.0,8.5,9.0,9.0
2135041387,9.0,9.5,9.0,9.0,9.5
2135041388,9.0,9.0,9.0,9.0,9.0
2135041389,9.0,9.0,9.0,9.0,8.5
2135041390,8.5,8.5,9.5,8.5,8.5
2135041391,9.0,9.0,9.5,9.0,9.0
2135041392,9.5,9.5,9.5,9.0,9.5
2135041393,9.0,9.5,9.0,9.0,9.0
2135041394,9.0,10.0,9.0,9.5,9.0
2135041395,9.0,9.5,8.5,9.0,9.0
2135041396,8.5,9.5,8.0,9.0,9.0
2135041397,9.0,10.0,8.5,9.0,9.0
2135041398,9.0,9.5,9.5,9.0,9.0
2135041399,9.0,9.5,8.5,9.0,9.0
2135041400,9.0,10.0,8.5,9.0,9.0
3710767001,8.5,9.5,8.0,9.0,9.0
3710767002,8.5,9.5,8.5,8.5,8.5
3710767003,9.0,9.5,8.5,9.0,9.0
3710767004,5.0,9.5,4.0,6.0,6.0
3710767005,8.5,9.0,8.0,9.5,9.0
3710767006,6.0,9.0,5.5,6.5,6.5
3710767007,7.0,9.5,7.0,7.0,7.5
3710767008,8.5,9.0,8.0,8.5,8.5
3710767009,7.0,8.0,7.5,6.0,7.5
3710767010,9.0,9.0,8.5,9.0,9.0
3710767011,9.0,9.0,8.5,9.0,9.0
3710767012,8.5,9.5,8.5,9.0,8.5
3710767013,8.5,8.0,8.5,9.0,9.5
3718372001,4.5,9.5,4.0,5.0,5.0
3718372002,8.5,8.5,8.5,9.0,9.0
3718372003,8.0,9.0,8.0,8.5,8.0
3718372004,9.0,9.5,9.0,9.5,9.0
3718372005,8.0,9.0,9.0,7.5,8.5
3718372006,9.0,9.0,8.5,9.0,9.0
3718372007,8.5,9.0,8.5,8.5,9.0
3718372008,8.0,9.0,8.5,7.5,8.0
3718372009,8.5,9.5,8.5,8.5,8.5
3718372010,7.5,9.5,6.5,8.5,8.5
3718372011,8.5,8.5,8.5,9.0,8.5
3718372012,8.5,9.0,8.5,8.5,9.0
3718372013,8.5,9.0,8.0,9.5,9.0
3718372014,8.5,8.5,9.0,8.5,9.0
3718372015,7.5,9.0,8.5,7.0,7.5
3718372016,9.0,9.0,8.5,9.0,9.0
3718372017,8.0,9.0,7.5,8.5,8.5
3718372018,8.0,9.0,8.5,8.0,8.0
3718372019,8.5,8.0,8.5,9.0,8.5
3718372020,8.0,8.0,8.5,8.5,7.5
3718372021,7.0,9.0,8.0,7.0,7.0
3718372022,8.5,9.5,9.0,8.5,8.0
3718372023,8.0,9.0,8.0,8.5,7.5
3718372024,8.5,9.0,8.5,8.5,8.0
3718372025,7.5,9.0,7.5,7.5,8.0
3718372026,8.0,9.0,8.0,8.0,8.0
3718372027,8.5,9.5,8.0,8.5,9.0
3718372028,8.0,8.0,8.0,9.0,8.5
3718372029,8.0,9.0,8.0,7.5,8.0
3718372030,8.0,9.0,8.5,7.5,8.5
3718372031,7.0,8.5,8.5,7.0,7.0
3720039001,8.5,9.0,8.5,8.5,9.0
3720039002,9.5,10.0,9.5,9.0,9.5
3720039003,8.5,9.5,8.5,8.5,9.0
3720039004,8.0,9.0,7.5,8.5,8.0
3720039005,9.0,9.0,9.0,9.0,9.0
3720039006,9.0,9.0,9.5,8.5,9.0
3720039007,9.5,9.5,9.5,9.5,10.0
3720039008,8.0,9.5,7.0,8.5,9.0
3720039009,8.0,9.5,7.0,8.5,9.5
3720039010,9.0,9.0,9.0,9.0,9.0
3720039011,8.5,9.5,9.0,8.5,8.5
3720039012,9.0,9.5,8.5,9.0,9.0
3720039013,8.5,9.5,8.5,8.0,8.5
3720039014,4.0,9.0,3.0,7.5,7.0
3720039015,8.5,8.5,8.0,9.0,9.0
3720039016,9.0,9.0,8.5,9.0,9.0
3720039017,9.0,9.0,9.0,8.5,9.0
3720039018,9.0,9.0,9.5,9.0,9.0
3720039019,9.0,9.0,9.0,9.5,9.0
3720039020,9.0,9.5,10.0,9.0,9.0
3720039021,9.0,9.5,9.0,8.5,9.0
3720039022,9.0,9.0,9.5,9.0,9.5
3720039023,9.0,9.5,9.5,9.0,9.0
3720039024,9.0,9.5,9.5,9.0,9.0
3720039025,8.5,9.5,8.0,9.0,8.5
3720039026,8.0,8.5,8.0,8.0,8.5
3720039027,7.0,9.0,6.0,7.5,8.0
3720039028,8.0,10.0,7.5,9.0,8.5
3720039029,8.5,9.5,8.0,9.0,9.0
3720039030,8.5,8.5,9.0,8.5,8.5
3720039031,8.5,9.0,9.0,8.5,8.5
3720039032,8.5,9.0,8.0,8.5,9.0
3720039033,8.0,9.0,8.0,8.0,9.0
3720039034,8.5,9.0,8.5,8.5,9.0
3720039035,8.5,9.5,8.0,8.5,9.0
3720039036,7.5,9.0,6.5,8.0,8.5
3720039037,8.0,8.5,7.5,9.5,9.5
3720039038,9.0,9.5,8.5,9.5,9.5
3720039039,9.0,10.0,8.5,9.5,9.5
3720039040,9.5,9.5,9.0,9.5,9.5
3720039041,9.0,10.0,8.5,9.5,9.5
3720039042,9.0,9.5,9.0,9.0,9.5
3720039043,9.0,9.5,9.0,9.0,9.5
3720039044,9.0,9.5,9.0,9.0,9.5
3720039045,9.0,9.0,9.0,9.0,9.5
3720039046,9.5,9.5,9.0,9.5,9.5
3720039047,9.0,9.5,9.0,9.0,9.5
3720039048,9.0,9.5,9.0,9.0,9.5
3720039049,9.0,9.5,8.5,9.5,10.0
3720039050,8.5,8.5,8.5,9.0,9.0
3720039051,9.0,9.0,9.0,9.0,9.0
3720039052,9.0,9.5,9.5,9.0,9.0
3720039053,9.5,9.5,9.5,9.0,9.5
3720039054,9.0,8.5,9.0,9.0,9.0
3720039055,9.0,8.5,9.0,9.0,9.5
3720039056,7.5,9.5,8.5,6.5,9.0
3720039057,9.0,9.5,9.5,9.0,9.0
3720039058,9.0,9.0,9.0,9.0,9.5
3720039059,9.0,8.5,9.0,9.0,9.5
3720039060,8.5,9.5,8.0,9.0,9.0
3720039061,9.0,9.0,8.5,9.0,9.5
3720039062,9.0,9.0,9.0,9.0,9.0
3720039063,9.0,9.5,9.5,9.0,9.0
3720039064,8.5,9.0,8.0,9.0,9.0
3720039065,9.0,9.0,9.0,9.0,9.5
3720039066,8.5,9.0,8.5,8.5,9.0
3720039067,9.0,9.0,9.0,9.0,9.5
3720039068,8.0,8.0,7.5,9.0,9.0
3720039069,9.0,9.5,9.0,9.0,9.5
3720039070,6.0,9.0,5.0,8.5,7.0
3720039071,9.0,8.5,9.0,9.0,9.5
3720039072,9.0,8.5,9.0,9.0,9.0
3720039073,8.5,8.5,8.5,8.5,9.0
3720039074,9.0,9.0,9.5,9.0,9.0
3720039075,7.5,8.5,6.5,8.5,8.5
3720039076,9.0,9.0,9.0,9.0,9.0
3720039077,8.5,9.5,8.5,8.5,9.0
3720039078,9.0,9.5,9.0,9.5,9.0
3720039079,9.0,9.0,8.5,9.0,9.0
3720039080,9.5,9.5,9.5,9.0,9.5
3720039081,9.5,10.0,9.0,9.5,9.5
3720039082,9.0,9.5,9.5,9.0,9.0
3720039083,9.0,8.5,9.0,9.0,9.5
3720039084,8.5,9.5,8.0,9.0,9.0
3720039085,8.5,9.5,8.0,9.0,8.5
3720039086,8.5,9.0,8.0,9.0,8.5
3720039087,9.0,9.5,9.0,8.5,9.0
3720039088,9.0,8.0,9.5,9.0,9.5
3720039089,9.0,8.5,9.0,9.0,9.5
3720039090,9.0,9.5,9.0,9.0,8.5
3720039091,8.5,8.0,9.5,9.0,9.0
3720039092,9.0,9.0,9.0,8.5,9.0
3720039093,9.0,9.5,8.5,9.0,9.5
3720039094,8.5,9.5,8.0,9.0,8.5
3720039095,8.5,10.0,8.0,8.5,8.5
3720039096,9.0,9.5,9.0,9.0,9.5
3720039097,8.5,10.0,8.0,8.5,9.0
3720039098,9.0,9.5,8.5,9.0,9.5
3720039099,9.0,9.0,9.0,9.0,8.5
3720039100,9.0,10.0,9.0,9.0,9.5
3720039101,8.5,9.5,8.0,9.0,8.5
3720039102,9.5,9.5,9.5,9.0,9.5
3720039104,9.5,10.0,9.0,9.5,9.5
3720039106,9.5,9.5,10.0,9.0,9.5
3720039107,9.5,10.0,10.0,9.0,9.5
3720039108,9.0,10.0,10.0,9.0,9.0
3720039109,9.0,10.0,9.5,9.0,9.0
3720039110,9.0,9.5,10.0,9.0,9.0
3720039111,9.5,9.5,10.0,9.0,9.5
3720039112,9.5,9.5,9.5,9.5,9.5
3720039113,9.5,9.5,10.0,9.0,9.5
3720039114,8.5,9.5,9.0,8.5,8.5
3720039115,9.5,9.5,9.0,10.0,10.0
3720039116,9.5,9.5,9.5,10.0,10.0
3720039117,9.5,9.0,9.5,9.5,9.5
3720077001,9.0,8.5,9.5,10.0,10.0
3720077002,9.5,9.0,9.5,10.0,10.0
3720077003,9.0,9.0,9.0,9.5,10.0
3724605001,8.5,9.5,8.5,9.0,8.5
3724605002,8.5,9.5,8.0,9.0,9.0
3724605003,9.0,9.0,8.5,9.5,9.5
3724605004,8.0,9.5,7.5,9.5,9.0
3724605005,9.0,9.5,8.5,9.5,9.0
3724605006,8.0,8.5,8.0,8.5,8.0
