Identifier,Grade,Grade_Ground_Truth,Centering,Centering_Ground_Truth,Surface,Surface_Ground_Truth,Corners,Corners_Ground_Truth,Edges,Edges_Ground_Truth
2135041348,8.5,8.5,9.0,9.5,8.0,8.5,8.0,9.0,8.5,8.5
2135041349,8.0,8.5,9.0,9.5,8.0,8.0,8.0,8.5,8.0,8.5
2135041357,8.0,9.0,9.0,9.5,7.5,9.0,8.0,9.0,8.0,9.0
2135041358,8.0,8.5,9.0,9.0,7.0,8.0,8.0,9.5,8.0,9.0
2135041361,8.0,9.0,9.0,9.5,8.0,8.5,8.0,9.5,8.0,9.0
2135041362,8.0,9.0,9.0,9.5,8.0,9.0,8.0,8.5,8.0,9.0
2135041365,8.0,8.0,9.0,9.5,8.0,9.0,8.0,7.5,8.0,8.5
2135041370,8.5,9.0,9.0,10.0,8.0,9.0,8.0,8.5,8.5,9.0
2135041372,8.5,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.5,9.0
2135041373,8.5,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.5,8.5
2135041376,8.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,8.5
2135041377,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0
2135041381,8.5,9.0,9.0,9.0,8.0,8.5,8.0,9.0,8.5,9.0
2135041383,8.0,9.0,9.0,10.0,8.0,9.5,8.0,9.0,8.0,9.0
2135041387,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,9.5
2135041388,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0
2135041391,8.0,9.0,9.0,9.0,8.0,9.5,8.0,9.0,8.0,9.0
2135041393,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,9.0
2135041395,8.0,9.0,9.0,9.5,7.5,8.5,8.0,9.0,8.0,9.0
2135041396,8.0,8.5,9.0,9.5,8.0,8.0,8.0,9.0,8.0,9.0
2135041397,8.0,9.0,9.0,10.0,8.0,8.5,8.0,9.0,8.0,9.0
2135041398,8.0,9.0,9.0,9.5,8.0,9.5,8.0,9.0,8.0,9.0
3710767010,8.5,9.0,9.0,9.0,8.0,8.5,8.0,9.0,8.5,9.0
3710767011,8.5,9.0,9.0,9.0,8.0,8.5,8.0,9.0,8.5,9.0
3718372002,8.0,8.5,9.0,8.5,7.5,8.5,8.0,9.0,8.0,9.0
3718372005,8.0,8.0,9.0,9.0,8.0,9.0,8.0,7.5,8.0,8.5
3718372006,8.0,9.0,9.0,9.0,8.0,8.5,8.0,9.0,8.0,9.0
3718372008,8.0,8.0,9.0,9.0,8.0,8.5,8.0,7.5,8.0,8.0
3718372014,8.5,8.5,9.0,8.5,8.0,9.0,8.0,8.5,8.5,9.0
3718372019,8.0,8.5,9.0,8.0,8.0,8.5,8.0,9.0,8.0,8.5
3718372026,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
3718372027,8.0,8.5,9.0,9.5,8.0,8.0,8.0,8.5,8.0,9.0
3718372030,8.0,8.0,9.0,9.0,7.5,8.5,8.0,7.5,8.0,8.5
3720039002,8.0,9.5,9.0,10.0,7.5,9.5,8.0,9.0,8.0,9.5
3720039003,8.0,8.5,9.0,9.5,8.0,8.5,8.0,8.5,8.0,9.0
3720039009,8.0,8.0,9.0,9.5,7.5,7.0,8.0,8.5,8.0,9.5
3720039011,8.5,8.5,9.0,9.5,8.0,9.0,8.5,8.5,8.5,8.5
3720039013,8.0,8.5,9.0,9.5,7.5,8.5,8.0,8.0,8.0,8.5
3720039028,8.5,8.0,9.0,10.0,8.0,7.5,8.0,9.0,8.5,8.5
3720039029,8.5,8.5,9.0,9.5,8.0,8.0,8.0,9.0,8.5,9.0
3720039031,8.5,8.5,9.0,9.0,8.0,9.0,8.5,8.5,8.5,8.5
3720039033,8.0,8.0,9.0,9.0,7.5,8.0,8.0,8.0,8.5,9.0
3720039039,9.0,9.0,9.0,10.0,7.5,8.5,9.0,9.5,9.0,9.5
3720039043,9.0,9.0,9.0,9.5,8.0,9.0,9.0,9.0,9.0,9.5
3720039045,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.5
3720039048,9.0,9.0,9.0,9.5,8.0,9.0,8.5,9.0,9.0,9.5
3720039054,8.5,9.0,9.0,8.5,8.0,9.0,8.5,9.0,8.5,9.0
3720039059,8.5,9.0,9.0,8.5,8.0,9.0,8.5,9.0,8.5,9.5
3720039060,8.0,8.5,9.0,9.5,8.0,8.0,8.0,9.0,8.0,9.0
3720039061,8.0,9.0,9.0,9.0,8.0,8.5,8.0,9.0,8.0,9.5
3720039068,8.0,8.0,9.0,8.0,8.0,7.5,8.0,9.0,8.0,9.0
3720039069,9.0,9.0,9.0,9.5,8.5,9.0,9.0,9.0,9.0,9.5
3720039072,9.0,9.0,9.0,8.5,8.5,9.0,9.0,9.0,9.0,9.0
3720039074,8.5,9.0,9.0,9.0,8.0,9.5,8.0,9.0,8.5,9.0
3720039077,8.5,8.5,9.0,9.5,8.0,8.5,8.5,8.5,8.5,9.0
3720039081,8.5,9.5,9.0,10.0,8.0,9.0,8.5,9.5,8.5,9.5
3720039084,8.0,8.5,9.0,9.5,7.0,8.0,8.0,9.0,8.0,9.0
3720039086,8.0,8.5,9.0,9.0,7.0,8.0,8.0,9.0,8.0,8.5
3720039090,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,8.5
3720039091,8.0,8.5,9.0,8.0,8.0,9.5,8.0,9.0,8.0,9.0
3720039092,8.5,9.0,9.0,9.0,8.0,9.0,8.0,8.5,8.5,9.0
3720039093,8.0,9.0,9.0,9.5,8.0,8.5,8.0,9.0,8.0,9.5
3720039094,8.5,8.5,9.0,9.5,8.0,8.0,8.0,9.0,8.5,8.5
3720039097,8.5,8.5,9.0,10.0,8.0,8.0,8.5,8.5,8.5,9.0
3720039115,8.0,9.5,9.0,9.5,7.5,9.0,8.0,10.0,8.5,10.0
3720077001,8.0,9.0,9.0,8.5,6.0,9.5,9.0,10.0,8.5,10.0
3724605003,8.0,9.0,9.0,9.0,7.5,8.5,8.0,9.5,8.0,9.5
3724605004,8.0,8.0,9.0,9.5,7.5,7.5,8.0,9.5,8.0,9.0
3724605005,8.0,9.0,9.0,9.5,8.0,8.5,8.0,9.5,8.0,9.0
3724605006,8.0,8.0,9.0,8.5,7.5,8.0,8.0,8.5,8.0,8.0
3724605011,8.0,9.0,9.0,9.0,6.0,9.0,9.0,9.5,8.0,10.0
3724605012,8.0,9.5,9.0,9.5,5.5,9.0,9.0,9.5,8.5,9.5
3724605015,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.5,8.0,9.0
3724605016,8.5,8.5,9.0,8.5,8.0,8.0,8.0,9.5,8.5,9.5
3724605017,8.0,8.0,9.0,8.5,8.0,7.5,8.0,8.0,8.0,9.0
3724605019,8.0,8.5,9.0,8.5,8.0,8.0,8.0,9.0,8.0,9.0
3724605022,8.0,8.0,9.0,9.0,7.5,7.0,8.0,9.5,8.0,9.0
3724605031,8.0,8.5,9.0,9.5,7.0,8.0,8.0,9.5,8.0,9.0
3724605032,8.0,8.5,9.0,9.5,8.0,8.0,8.0,9.0,8.0,9.0
3724605038,8.0,8.5,9.0,9.0,7.5,8.0,8.0,9.0,8.0,9.0
3724605042,8.0,8.0,9.0,8.0,8.0,7.5,8.0,8.5,8.0,8.5
3724605043,8.5,8.0,9.0,8.5,8.0,7.5,8.0,8.5,8.5,8.5
3724605044,8.5,7.0,9.0,9.0,8.0,6.5,8.5,7.5,8.5,7.5
3724605045,8.0,8.5,9.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0
3724605049,8.0,9.0,9.0,9.0,7.5,8.5,8.0,9.0,8.5,9.0
3727258004,9.0,9.0,9.5,9.5,7.5,9.5,9.0,8.5,9.0,9.0
3727258010,9.0,9.5,9.0,10.0,9.0,10.0,9.0,9.5,9.0,9.5
3727258015,8.0,7.0,9.0,9.5,8.0,7.5,8.0,7.0,8.0,6.5
3727258016,8.0,7.0,9.0,9.5,7.5,7.0,8.0,7.0,8.0,7.5
3727258019,9.0,8.5,9.0,8.5,9.0,8.5,8.5,8.0,9.0,8.5
3727258021,9.0,9.0,9.0,8.5,8.5,10.0,9.0,9.5,9.0,10.0
3727258025,9.0,9.5,9.0,9.5,8.5,9.5,9.0,10.0,9.0,9.5
3727258026,9.0,10.0,9.0,10.0,8.5,9.5,9.0,10.0,9.0,10.0
3727258027,9.0,9.0,9.0,8.5,9.0,9.0,9.0,9.5,9.0,9.5
3727258029,9.0,10.0,9.0,10.0,8.5,10.0,9.0,10.0,9.0,9.5
3727258031,9.0,9.5,9.0,9.0,8.5,10.0,9.0,10.0,9.0,10.0
3727258038,9.0,9.5,9.0,9.5,8.0,9.0,9.0,9.5,9.0,9.5
3727258040,9.0,9.5,9.0,9.5,9.0,9.5,9.0,10.0,9.0,10.0
3727258046,9.0,9.5,9.0,10.0,8.5,9.5,9.0,10.0,9.0,9.5
3727258048,9.0,9.5,9.0,10.0,9.0,9.5,9.0,9.5,9.0,9.5
3727258055,9.0,10.0,9.0,9.5,8.0,10.0,9.0,10.0,9.0,10.0
3727258057,9.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,10.0
3727258059,9.0,9.0,9.0,9.0,8.5,9.0,9.0,10.0,9.0,9.5
3727258063,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,9.0
3727258067,8.0,9.5,9.0,10.0,8.0,9.5,8.0,9.0,8.0,9.5
3727258070,9.0,9.0,9.0,9.0,8.5,9.5,9.0,9.5,9.0,8.5
3727258074,8.0,8.5,9.0,10.0,7.0,8.0,8.0,9.5,8.0,9.0
3727258077,8.0,9.0,9.0,9.0,8.0,8.5,8.0,9.0,8.0,9.0
3727258081,8.5,5.5,9.0,9.5,8.0,4.5,8.0,9.0,8.5,8.5
3727258085,8.5,8.0,9.0,9.5,8.0,8.0,8.0,8.0,8.5,8.5
3727258091,8.5,8.0,9.0,10.0,8.0,7.5,8.0,8.5,8.5,8.0
3727258095,8.0,6.5,9.0,9.0,8.0,6.5,8.0,7.5,8.0,6.5
3727258099,8.0,7.0,9.0,8.5,7.5,6.0,8.0,9.0,8.0,7.0
3727258106,8.0,8.0,9.0,10.0,7.5,8.5,8.0,8.0,8.0,8.0
3727258108,8.0,8.0,9.0,9.5,8.0,7.0,8.0,8.0,8.0,8.5
3727258113,8.5,7.0,9.0,9.0,8.0,7.5,8.0,6.5,8.5,7.5
3727258115,8.5,8.5,9.0,8.5,8.0,8.0,8.0,8.5,8.5,9.0
3727258120,8.5,6.5,9.0,9.5,8.0,6.5,8.0,7.0,8.5,6.5
3727258121,8.0,9.0,9.0,8.5,8.0,9.0,8.0,9.0,8.0,9.0
3727258124,8.0,9.0,9.0,8.5,8.0,9.5,8.0,9.5,8.0,9.5
3727258126,8.0,9.0,9.0,10.0,8.0,9.5,8.0,9.0,8.0,9.0
3727258128,8.0,8.5,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0
3727258129,8.5,7.5,9.0,9.0,8.0,6.5,8.0,9.0,8.5,8.5
3727258133,8.5,9.0,9.0,9.0,8.0,9.5,8.5,9.0,8.5,9.5
3727258143,8.0,9.0,9.0,9.5,8.0,8.5,8.0,9.0,8.0,9.0
3727258146,8.0,9.0,9.0,8.5,7.5,9.0,8.0,9.0,8.0,9.0
3727258147,8.0,9.0,9.0,9.0,8.0,8.5,8.0,9.0,8.0,9.0
3727258160,9.0,10.0,9.0,10.0,8.5,9.5,9.5,10.0,9.0,10.0
3727258163,9.0,9.0,9.0,9.0,8.0,10.0,9.5,10.0,9.0,9.0
3727258164,9.0,8.5,9.0,9.5,8.5,8.0,9.5,10.0,9.0,9.5
3727258170,9.0,8.5,9.5,9.0,8.0,8.0,9.0,8.5,9.0,9.0
3727258171,9.0,9.5,9.0,9.5,8.0,9.5,9.0,9.5,9.0,9.0
3727258184,9.0,10.0,9.0,10.0,8.0,10.0,9.5,10.0,9.0,10.0
3727258187,9.0,10.0,9.0,9.5,8.0,10.0,9.5,10.0,9.0,10.0
3727258190,9.0,9.0,9.5,8.5,8.0,9.5,9.0,9.5,9.0,9.5
3727258193,9.0,9.0,9.5,9.5,8.0,9.5,9.5,9.5,9.0,8.5
3727258194,9.0,10.0,9.0,10.0,8.0,10.0,9.5,10.0,9.0,10.0
3727258195,9.0,9.5,9.0,10.0,8.5,9.0,9.5,9.5,9.0,10.0
3727258197,9.0,9.5,9.0,10.0,9.0,9.5,9.5,10.0,9.0,9.5
3727258211,9.0,10.0,9.0,10.0,8.0,9.5,9.5,10.0,9.0,10.0
3727258212,9.0,10.0,9.0,10.0,8.0,10.0,9.5,9.5,9.0,10.0
3727258216,9.0,10.0,9.5,10.0,8.0,10.0,9.5,9.5,9.0,10.0
3727258217,9.0,9.5,9.5,9.5,8.0,10.0,9.0,9.5,9.0,10.0
3727258219,9.0,9.5,9.5,9.5,8.0,9.5,9.0,9.5,9.0,9.5
3727258220,8.5,9.5,9.0,9.0,8.0,10.0,8.0,9.5,8.5,9.5
3730009001,8.5,7.5,9.0,9.5,8.0,8.0,8.0,6.5,8.5,8.0
3730009003,8.0,9.0,9.0,9.5,7.0,9.5,8.0,8.5,8.5,9.0
3730009004,8.5,8.5,9.0,9.0,7.5,8.5,8.5,9.0,8.5,8.5
3730009006,8.0,8.0,9.0,8.5,8.0,7.5,8.0,8.5,8.0,8.5
3730009007,8.0,8.0,9.0,9.5,8.0,7.0,8.0,8.5,8.0,8.5
3730009008,8.0,9.0,9.0,9.0,8.0,8.5,8.0,9.0,8.0,9.5
3730009017,8.0,9.0,9.0,9.5,7.5,9.0,8.0,9.0,8.0,9.5
3730009019,8.5,8.5,9.0,9.0,8.0,8.5,8.5,8.5,8.5,8.0
3730009043,8.0,9.5,9.0,9.5,7.5,9.5,8.0,9.0,8.0,9.5
3730009047,8.0,9.5,9.0,9.5,8.0,10.0,8.0,9.5,8.0,9.5
3730009049,8.5,9.0,9.0,8.5,8.0,9.0,8.0,9.0,8.5,9.0
3730009051,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,9.0
3730009057,8.0,8.5,9.0,9.5,8.0,8.5,8.0,8.5,8.0,9.0
3730009061,8.5,9.5,9.0,9.5,8.0,10.0,8.0,9.0,8.5,9.5
3730009062,8.0,9.5,9.0,9.5,8.0,9.0,8.0,9.5,8.0,9.5
3730009063,8.0,9.5,9.0,9.5,7.5,9.0,8.0,9.5,8.0,9.5
3730009064,8.0,9.0,9.0,9.0,7.0,9.5,8.0,8.5,8.0,9.5
3730009067,8.5,9.0,9.0,8.5,8.0,9.5,8.0,9.0,8.5,9.5
3730009069,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,9.5
3730009078,8.0,9.5,9.0,10.0,8.0,9.5,8.0,9.0,8.0,9.5
3730009095,8.5,8.0,9.0,8.5,8.0,7.0,8.5,9.0,8.5,8.5
3730009097,8.5,7.5,9.0,10.0,8.0,7.0,8.5,8.0,8.5,8.0
3730009099,8.0,8.5,9.0,8.5,8.0,8.5,8.0,8.5,8.0,9.0
3730009109,8.5,9.0,9.0,10.0,8.0,9.0,8.5,9.0,8.5,9.0
3730009111,8.0,9.5,9.0,10.0,8.0,9.5,8.0,9.0,8.0,10.0
3730009112,8.5,9.5,9.0,10.0,8.0,10.0,8.0,9.0,8.5,9.5
3730009114,8.0,9.5,9.0,10.0,8.0,10.0,8.0,9.0,8.0,9.5
3730009115,8.0,9.5,9.0,10.0,8.0,9.5,8.0,9.0,8.0,9.5
3730009118,8.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,9.5
3730009119,8.5,9.5,9.0,10.0,8.0,9.5,8.0,9.0,8.5,9.5
3730009125,8.5,8.5,9.0,9.5,8.0,8.5,8.5,8.5,8.5,8.5
3730009126,8.5,8.0,9.0,8.5,8.0,7.5,8.5,9.0,8.0,8.0
3730009132,8.0,8.5,9.0,8.5,7.5,9.0,8.0,8.5,8.0,9.0
3730009138,8.5,8.0,9.0,9.5,8.0,8.0,8.0,8.5,8.5,8.0
3730009139,8.5,9.0,9.0,9.5,8.0,9.0,8.0,9.5,8.5,9.0
3730009140,8.0,8.0,9.0,9.5,8.0,7.0,8.0,9.0,8.0,9.0
3733760001,9.0,9.0,9.0,8.5,9.0,9.5,9.0,9.5,9.0,9.5
3733760006,9.0,10.0,9.0,10.0,8.5,9.5,9.0,10.0,9.0,10.0
3733760008,8.5,9.0,9.0,9.0,8.0,9.5,8.0,9.0,8.5,9.5
3733760010,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.5
3733760025,9.0,8.0,9.0,8.5,9.0,8.0,9.0,8.0,9.0,8.0
3733760028,9.0,9.5,9.0,9.5,9.0,10.0,9.0,9.5,9.0,9.5
3733760030,9.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,9.5
3733760032,9.0,9.0,9.0,8.5,9.0,9.0,9.0,9.5,9.0,9.0
3733760036,9.0,9.5,9.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0
3733760037,9.0,9.0,9.0,8.5,8.0,9.0,8.5,10.0,9.0,10.0
3733760051,9.0,8.0,9.0,9.0,8.5,9.5,9.0,8.0,9.0,7.5
3733760054,9.0,9.5,9.0,9.5,8.5,9.5,9.0,10.0,9.0,9.5
3733760057,9.0,9.0,9.0,8.5,8.5,10.0,9.0,10.0,9.0,9.5
3733760059,9.0,9.0,9.0,8.5,8.5,9.0,9.0,10.0,9.0,9.5
3733760060,9.0,9.5,9.0,9.5,8.5,9.5,9.0,10.0,9.0,9.5
3733760065,8.5,7.5,9.0,10.0,8.0,6.5,8.5,8.5,8.5,8.5
3733760067,8.5,8.0,9.0,9.5,8.0,7.0,8.0,8.5,8.5,8.5
3733760069,8.0,9.0,9.0,10.0,7.5,9.0,8.0,9.0,8.0,8.5
3733760072,8.0,8.5,9.0,8.5,8.0,9.0,8.0,8.0,8.0,8.5
3733760073,8.5,9.0,9.0,8.5,8.0,9.5,8.5,10.0,8.5,9.5
3733760074,9.0,9.0,9.0,9.5,8.5,8.5,9.0,10.0,9.0,9.5
3733760078,9.0,9.0,9.0,9.0,8.0,9.0,8.5,9.0,9.0,9.5
3733760082,9.0,9.0,9.0,9.5,8.0,9.0,8.5,9.0,9.0,8.5
3733760083,9.0,9.0,9.0,9.0,8.5,9.0,9.0,10.0,9.0,9.5
3733760084,9.0,9.0,9.0,9.0,8.5,9.0,9.0,10.0,9.0,9.5
3733760087,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
3733760089,9.0,8.0,9.0,9.5,9.0,7.5,9.0,10.0,9.0,9.5
3733760094,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.5,8.5,9.5
3733760098,9.0,9.5,9.0,9.0,8.5,9.5,9.0,9.5,9.0,10.0
3734194001,8.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,8.0,9.5
3734194004,8.0,9.0,9.0,9.0,6.0,9.5,9.0,8.5,8.5,9.0
3734194007,8.0,9.0,9.0,9.0,6.0,10.0,9.0,8.5,8.5,9.0
3734194008,8.0,9.0,9.0,9.0,6.0,9.0,9.0,8.5,8.0,9.0
3734194009,8.0,9.0,9.0,9.0,6.0,9.5,9.0,8.5,8.5,9.0
3734194011,8.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,8.5,9.0
3734194017,8.0,8.5,9.0,8.5,6.0,8.5,9.0,8.5,9.0,9.0
3734194021,8.0,8.5,9.0,8.5,5.5,9.0,9.0,8.0,8.5,8.5
3734194024,8.0,8.0,9.0,8.5,6.0,9.0,9.0,7.5,8.5,8.5
3734194027,8.0,9.5,9.0,9.5,6.0,10.0,9.0,9.5,8.5,9.5
3734194028,8.0,9.0,9.0,9.0,6.0,10.0,9.0,9.0,8.5,9.5
